date,store_id,category,weather,promotion,special_event,dominant_age_group,num_customers,total_sales,online_sales,in_store_sales,avg_transaction,return_rate
2023-01-01,store_5,Beauty,Snowy,Seasonal,False,25-34,81.0,973.82,626.35,347.47,12.02,0.0572
2023-01-01,store_6,Electronics,Rainy,Seasonal,False,18-24,115.0,1729.07,580.29,1148.78,15.04,0.1271
2023-01-01,store_6,Clothing,Sunny,Discount,,45-54,123.0,1632.52,1179.04,453.48,13.27,0.0403
2023-01-01,store_6,Groceries,Windy,,False,55+,76.0,1166.7,677.25,489.46,15.35,0.0718
2023-01-01,store_6,Home Goods,Snowy,Seasonal,False,55+,73.0,1013.27,500.43,,13.88,0.0929
2023-01-01,store_6,Beauty,Sunny,,False,55+,140.0,1349.77,481.21,868.55,9.64,0.0477
2023-01-01,store_7,Electronics,Cloudy,BOGO,False,,118.0,1438.76,699.77,738.99,12.19,0.0248
2023-01-01,store_7,Clothing,Rainy,Flash Sale,True,35-44,154.0,2690.05,962.5,1727.55,17.47,0.0358
2023-01-01,store_7,Groceries,Windy,Discount,False,18-24,98.0,483.83,70.24,413.59,4.94,0.0826
2023-01-01,store_7,Home Goods,Cloudy,Seasonal,False,25-34,117.0,1265.41,655.62,609.79,10.82,0.0592
2023-01-01,store_7,Beauty,Cloudy,Discount,False,55+,113.0,1612.39,773.77,838.61,14.27,0.0927
2023-01-01,store_8,Electronics,Sunny,Seasonal,False,18-24,122.0,1472.2,324.16,1148.05,12.07,0.0376
2023-01-01,store_8,Clothing,Sunny,BOGO,False,35-44,141.0,1971.85,369.32,1602.53,13.98,0.0358
2023-01-01,store_8,Groceries,Rainy,,False,55+,113.0,1354.2,604.67,749.53,11.98,0.0502
2023-01-01,store_8,Home Goods,Sunny,,False,18-24,108.0,1326.97,151.78,1175.19,12.29,0.0713
2023-01-01,store_8,Beauty,Windy,Discount,False,45-54,121.0,1729.03,457.76,1271.27,14.29,0.036
2023-01-01,store_9,Electronics,Windy,Discount,False,55+,95.0,1450.31,404.99,1045.33,15.27,0.0772
2023-01-01,store_9,Clothing,Snowy,Discount,False,25-34,101.0,1466.85,934.46,532.39,14.52,0.0093
2023-01-01,store_9,Groceries,Cloudy,Flash Sale,False,35-44,115.0,1197.81,549.7,648.11,10.42,0.0654
2023-01-01,store_9,Home Goods,Snowy,Seasonal,False,25-34,118.0,1118.34,600.93,517.41,9.48,0.0514
2023-01-01,store_9,Beauty,Rainy,,False,55+,106.0,873.88,308.45,565.43,8.24,0.0872
2023-01-01,store_10,Electronics,Windy,Discount,False,18-24,114.0,1486.8,329.4,1157.4,13.04,0.0468
2023-01-01,store_10,Clothing,Sunny,,False,18-24,129.0,1368.13,443.54,924.58,10.61,0.0694
2023-01-01,store_10,Groceries,Cloudy,,False,35-44,102.0,1140.3,439.46,700.83,11.18,0.0568
2023-01-01,store_10,Home Goods,Snowy,Discount,False,55+,87.0,1542.85,899.68,643.17,17.73,0.056
2023-01-01,store_10,Beauty,Windy,Flash Sale,False,45-54,,1154.16,673.74,480.42,10.12,0.0712
2023-01-02,store_1,Electronics,Snowy,Discount,False,45-54,,807.99,431.29,376.7,10.49,0.0731
2023-01-02,store_1,Clothing,Cloudy,Flash Sale,False,18-24,81.0,1472.9,967.88,505.02,18.18,0.0154
2023-01-02,store_1,Groceries,Sunny,,False,35-44,107.0,1195.54,337.45,858.1,11.17,0.0566
2023-01-02,store_1,Home Goods,Sunny,Discount,False,55+,94.0,1320.05,424.82,895.22,14.04,0.0475
2023-01-02,store_1,Beauty,Snowy,Discount,False,,68.0,843.74,312.38,531.36,12.41,0.0436
2023-01-02,store_2,Electronics,Snowy,Discount,False,18-24,60.0,766.52,125.18,641.34,12.78,0.0213
2023-01-02,store_2,Clothing,Snowy,Seasonal,False,55+,79.0,,182.48,768.74,12.04,0.0376
2023-01-02,store_2,Groceries,Sunny,,False,25-34,95.0,1446.97,81.67,1365.3,15.23,0.067
2023-01-02,store_2,Home Goods,Rainy,Flash Sale,False,25-34,79.0,1149.04,410.06,738.98,14.54,0.0319
2023-01-02,store_2,Beauty,Snowy,,False,18-24,82.0,601.96,293.58,308.38,7.34,0.0711
2023-01-02,store_3,Electronics,Snowy,BOGO,False,45-54,77.0,823.63,658.92,164.7,10.7,0.0366
2023-01-02,store_3,Clothing,Cloudy,Flash Sale,False,55+,82.0,1100.18,386.76,713.41,13.42,0.0408
2023-01-02,store_3,Groceries,Snowy,Discount,False,25-34,82.0,681.88,318.89,362.99,8.32,0.0637
2023-01-02,store_3,Home Goods,Sunny,Seasonal,False,18-24,100.0,1036.99,362.98,674.01,10.37,0.0687
2023-01-02,store_3,Beauty,Cloudy,,False,45-54,82.0,534.83,84.4,450.43,6.52,0.066
2023-01-02,store_4,Electronics,Windy,Seasonal,False,55+,74.0,1022.64,,572.48,13.82,0.038
2023-01-02,store_4,Clothing,Sunny,Discount,False,18-24,96.0,1683.27,468.55,1214.72,17.53,0.0518
2023-01-02,store_4,Groceries,Rainy,Flash Sale,False,55+,72.0,887.49,388.45,499.04,12.33,0.0609
2023-01-02,store_4,Home Goods,Rainy,Seasonal,False,55+,89.0,920.56,638.61,281.95,10.34,0.0054
2023-01-02,store_4,Beauty,Sunny,Flash Sale,False,55+,99.0,1185.57,823.63,361.94,11.98,0.0323
2023-01-02,store_5,Electronics,Windy,BOGO,False,25-34,93.0,1552.12,384.4,1167.72,16.69,0.0516
2023-01-02,store_5,Clothing,Cloudy,Discount,False,25-34,101.0,1564.26,343.81,1220.45,15.49,0.0757
2023-01-02,store_5,Groceries,Cloudy,Flash Sale,False,18-24,93.0,814.32,204.0,610.31,8.76,0.0556
2023-01-02,store_5,Home Goods,Sunny,Flash Sale,False,55+,120.0,868.6,639.19,229.41,7.24,0.0536
2023-01-02,store_5,Beauty,Sunny,,False,55+,115.0,1155.53,71.21,1084.32,10.05,0.0272
2023-01-02,store_6,Electronics,Cloudy,Discount,False,18-24,99.0,1201.71,603.56,598.15,12.14,0.1008
2023-01-02,store_6,Clothing,Rainy,BOGO,False,45-54,78.0,1032.09,739.94,292.15,13.23,0.0626
2023-01-02,store_6,Groceries,Windy,BOGO,False,55+,76.0,926.8,161.61,765.19,12.19,0.0661
2023-01-02,store_6,Home Goods,Sunny,Seasonal,False,18-24,103.0,1465.44,531.12,934.32,14.23,0.0467
2023-01-02,store_6,Beauty,Rainy,BOGO,False,18-24,93.0,995.35,209.9,785.46,10.7,0.1014
2023-01-02,store_7,Electronics,Windy,Discount,False,55+,83.0,1369.78,652.98,716.8,16.5,0.0541
2023-01-02,store_7,Clothing,Rainy,BOGO,False,35-44,78.0,1243.46,217.74,1025.71,15.94,0.0597
2023-01-02,store_7,Groceries,Windy,Flash Sale,False,18-24,72.0,819.62,288.37,531.25,11.38,0.0289
2023-01-02,store_7,Home Goods,Sunny,Flash Sale,False,18-24,96.0,1267.86,232.3,1035.56,13.21,0.0369
2023-01-02,store_7,Beauty,Sunny,BOGO,False,35-44,113.0,981.18,834.2,146.98,8.68,0.0337
2023-01-02,store_8,Electronics,Rainy,Flash Sale,False,45-54,79.0,1089.82,473.74,616.08,13.8,0.0694
2023-01-02,store_8,Clothing,Windy,,False,25-34,86.0,824.39,122.62,701.78,9.59,0.0416
2023-01-02,store_8,Groceries,Windy,,False,55+,86.0,596.19,262.47,333.72,6.93,0.0406
2023-01-02,store_8,Home Goods,Windy,Discount,False,18-24,89.0,1328.23,1139.27,188.96,14.92,0.0661
2023-01-02,store_8,Beauty,Cloudy,BOGO,False,18-24,92.0,1191.83,451.03,740.79,12.95,0.0195
2023-01-02,store_9,Electronics,Cloudy,Discount,False,18-24,89.0,1432.79,1069.78,363.01,16.1,0.0536
2023-01-02,store_9,Clothing,Cloudy,,False,45-54,97.0,786.82,328.99,457.83,8.11,0.0536
2023-01-02,store_9,Groceries,,Discount,False,25-34,94.0,1441.58,73.66,1367.92,15.34,0.0686
2023-01-02,store_9,Home Goods,Rainy,Discount,False,18-24,81.0,771.48,291.81,479.67,9.52,0.0663
2023-01-02,store_9,Beauty,Rainy,BOGO,False,45-54,81.0,1297.4,645.77,651.63,16.02,0.0527
2023-01-02,store_10,Electronics,Rainy,BOGO,False,18-24,90.0,1393.71,614.29,779.41,15.49,0.0219
2023-01-02,store_10,Clothing,Snowy,,False,25-34,77.0,668.92,112.27,556.65,8.69,0.0114
2023-01-02,store_10,Groceries,Rainy,Flash Sale,False,25-34,81.0,735.31,72.9,662.4,9.08,0.0745
2023-01-02,store_10,Home Goods,Rainy,,False,45-54,79.0,723.23,330.27,392.96,9.15,0.0659
2023-01-02,store_10,Beauty,Cloudy,BOGO,False,35-44,94.0,730.9,174.61,556.3,7.78,0.0467
2023-01-03,store_1,Electronics,Cloudy,Seasonal,False,55+,82.0,1364.84,152.33,1212.5,16.64,0.0824
2023-01-03,store_1,Clothing,Cloudy,,False,35-44,85.0,978.5,264.25,714.25,11.51,0.0425
2023-01-03,store_1,Groceries,Rainy,Seasonal,False,35-44,73.0,1250.92,267.33,983.59,17.14,0.0688
2023-01-03,store_1,Home Goods,,,,35-44,99.0,1168.63,191.91,976.73,11.8,0.015
2023-01-03,store_1,Beauty,Cloudy,Flash Sale,False,55+,81.0,1224.3,654.91,569.39,15.11,0.0326
2023-01-03,store_2,Electronics,Sunny,Flash Sale,False,25-34,112.0,825.1,287.76,537.34,7.37,0.0687
2023-01-03,store_2,Clothing,Cloudy,,False,18-24,94.0,968.71,433.21,535.5,10.31,0.0596
2023-01-03,store_2,Groceries,Windy,Seasonal,False,25-34,85.0,1193.13,119.78,1073.35,14.04,0.0664
2023-01-03,store_2,Home Goods,Cloudy,Flash Sale,False,35-44,97.0,1034.85,423.55,611.3,10.67,0.0481
2023-01-03,store_2,Beauty,Windy,BOGO,False,18-24,80.0,1316.42,1067.1,249.32,16.46,0.036
2023-01-03,store_3,Electronics,Cloudy,Seasonal,False,45-54,97.0,1028.25,447.28,580.97,10.6,0.0813
2023-01-03,store_3,Clothing,Cloudy,Flash Sale,False,55+,,815.17,413.8,401.37,8.32,0.0724
2023-01-03,store_3,Groceries,Rainy,Discount,False,45-54,,1089.22,376.59,712.62,12.97,0.0459
2023-01-03,store_3,Home Goods,Rainy,Seasonal,False,45-54,80.0,1196.14,325.52,870.62,14.95,0.0554
2023-01-03,store_3,Beauty,Windy,,False,25-34,88.0,999.62,202.92,796.7,11.36,0.0598
2023-01-03,store_4,Electronics,Snowy,Seasonal,False,35-44,72.0,651.59,362.26,289.33,9.05,0.0182
2023-01-03,store_4,Clothing,Snowy,Flash Sale,False,25-34,59.0,609.96,444.87,165.08,10.34,0.0401
2023-01-03,store_4,Groceries,Windy,Flash Sale,False,25-34,72.0,1001.79,414.34,587.45,13.91,0.098
2023-01-03,store_4,Home Goods,Sunny,BOGO,False,55+,99.0,1388.42,650.34,738.08,14.02,0.0483
2023-01-03,store_4,Beauty,Cloudy,,False,25-34,81.0,1122.69,260.07,862.62,13.86,0.0555
2023-01-03,store_5,Electronics,Cloudy,Discount,False,25-34,101.0,998.98,285.81,713.16,9.89,0.0718
2023-01-03,store_5,Clothing,Sunny,,False,45-54,105.0,1198.01,347.3,850.72,11.41,0.0294
2023-01-03,store_5,Groceries,,,False,55+,91.0,1163.96,309.95,854.01,12.79,0.0613
2023-01-03,store_5,Home Goods,Rainy,Flash Sale,False,25-34,86.0,1189.3,235.38,953.92,13.83,0.0127
2023-01-03,store_5,Beauty,Rainy,,False,18-24,86.0,908.63,451.09,457.54,10.57,0.0385
2023-01-03,store_6,Electronics,Snowy,Discount,False,55+,62.0,1252.5,331.84,920.65,20.2,0.0565
2023-01-03,store_6,Clothing,Snowy,,False,18-24,72.0,634.39,295.09,339.3,,0.0564
2023-01-03,store_6,Groceries,Snowy,Discount,False,55+,71.0,1113.9,784.48,329.42,15.69,0.0081
2023-01-03,store_6,Home Goods,Windy,Seasonal,False,45-54,90.0,1028.8,616.82,411.98,11.43,0.0745
2023-01-03,store_6,Beauty,Windy,Seasonal,False,55+,73.0,1033.19,192.45,840.74,14.15,0.051
2023-01-03,store_7,Electronics,Snowy,Discount,False,45-54,72.0,936.56,220.83,715.73,13.01,0.0591
2023-01-03,store_7,Clothing,Snowy,BOGO,False,35-44,76.0,857.65,247.42,610.22,11.28,0.0555
2023-01-03,store_7,Groceries,Windy,Flash Sale,False,35-44,89.0,1133.37,332.13,801.24,12.73,0.0562
2023-01-03,store_7,Home Goods,Snowy,,False,25-34,75.0,589.67,264.13,325.54,7.86,0.0346
2023-01-03,store_7,Beauty,Cloudy,BOGO,False,55+,98.0,1394.53,244.47,1150.06,14.23,0.0571
2023-01-03,store_8,Electronics,Sunny,Discount,False,45-54,97.0,1534.66,531.16,1003.5,15.82,0.0524
2023-01-03,store_8,Clothing,Rainy,Discount,False,45-54,85.0,698.42,150.02,548.41,8.22,0.0439
2023-01-03,store_8,Groceries,Cloudy,Seasonal,False,18-24,89.0,1489.99,1169.99,320.0,16.74,0.0512
2023-01-03,store_8,Home Goods,Rainy,Flash Sale,False,55+,81.0,681.04,196.38,484.66,8.41,0.0615
2023-01-03,store_8,Beauty,Sunny,Seasonal,False,18-24,84.0,1235.89,233.33,1002.56,14.71,0.0326
2023-01-03,store_9,Electronics,Cloudy,BOGO,False,45-54,92.0,1577.79,604.33,973.46,17.15,0.0183
2023-01-03,store_9,Clothing,Windy,Seasonal,False,25-34,72.0,1494.5,528.03,966.47,20.76,0.0779
2023-01-03,store_9,Groceries,Snowy,Discount,False,45-54,74.0,851.89,590.71,261.18,11.51,0.058
2023-01-03,store_9,Home Goods,Sunny,Flash Sale,False,45-54,91.0,1176.39,445.44,730.94,12.93,
2023-01-03,store_9,Beauty,Rainy,Flash Sale,False,55+,80.0,1063.66,281.22,782.44,13.3,0.0353
2023-01-03,store_10,Electronics,Windy,,False,,86.0,1162.29,187.88,974.41,13.52,0.0792
2023-01-03,store_10,Clothing,Windy,,False,45-54,91.0,1163.98,94.54,1069.44,12.79,0.0393
2023-01-03,store_10,Groceries,Rainy,Flash Sale,False,35-44,77.0,738.35,264.33,474.02,9.59,0.0348
2023-01-03,store_10,Home Goods,Snowy,BOGO,False,35-44,,660.15,180.34,479.81,8.92,0.0253
2023-01-03,store_10,Beauty,Cloudy,Flash Sale,False,45-54,112.0,1073.97,550.58,523.39,9.59,0.0302
2023-01-04,store_1,Electronics,Cloudy,,False,,85.0,727.15,216.63,510.53,8.55,0.0219
2023-01-04,store_1,Clothing,Sunny,BOGO,False,18-24,106.0,1207.44,,463.01,11.39,0.0601
2023-01-04,store_1,Groceries,Sunny,,False,25-34,118.0,704.86,590.86,114.0,5.97,0.018
2023-01-04,store_1,Home Goods,Sunny,Seasonal,False,25-34,110.0,1316.87,711.09,605.78,11.97,0.0412
2023-01-04,store_1,Beauty,Snowy,,False,25-34,67.0,730.39,78.49,651.9,10.9,
2023-01-04,store_2,Electronics,Snowy,BOGO,False,25-34,72.0,985.04,647.19,337.86,13.68,
2023-01-04,store_2,Clothing,Windy,Seasonal,False,18-24,69.0,1042.66,132.85,909.81,15.11,0.0511
2023-01-04,store_2,Groceries,Rainy,BOGO,False,18-24,73.0,1166.02,574.42,591.6,15.97,
2023-01-04,store_2,Home Goods,Cloudy,Seasonal,False,45-54,82.0,1452.66,786.86,665.79,17.72,0.0359
2023-01-04,store_2,Beauty,Snowy,Discount,False,25-34,74.0,687.4,402.41,284.99,9.29,0.0291
2023-01-04,store_3,Electronics,Sunny,BOGO,False,55+,96.0,1400.22,567.13,833.09,14.59,0.0652
2023-01-04,store_3,Clothing,Sunny,Seasonal,False,35-44,86.0,1411.85,339.62,1072.23,16.42,0.0301
2023-01-04,store_3,Groceries,Windy,Flash Sale,False,18-24,85.0,1065.48,55.96,1009.52,12.54,0.0327
2023-01-04,store_3,Home Goods,Windy,BOGO,True,45-54,120.0,1942.95,253.34,1689.61,16.19,0.018
2023-01-04,store_3,Beauty,Snowy,,False,,82.0,620.66,103.32,517.34,7.57,0.0534
2023-01-04,store_4,Electronics,Snowy,Discount,False,55+,59.0,909.08,395.8,513.28,15.41,0.034
2023-01-04,store_4,Clothing,Cloudy,Seasonal,False,55+,81.0,1004.18,162.91,841.27,12.4,0.0358
2023-01-04,store_4,Groceries,Snowy,Flash Sale,False,55+,69.0,1046.16,182.22,863.94,15.16,0.0556
2023-01-04,store_4,Home Goods,Cloudy,BOGO,False,18-24,92.0,1897.81,366.66,1531.15,20.63,0.0619
2023-01-04,store_4,Beauty,Cloudy,Flash Sale,False,45-54,88.0,902.41,401.98,500.43,10.25,0.0616
2023-01-04,store_5,Electronics,Windy,Seasonal,False,35-44,88.0,1038.56,685.19,353.36,11.8,0.0553
2023-01-04,store_5,Clothing,Sunny,Flash Sale,False,25-34,103.0,1469.79,493.61,976.18,14.27,0.0565
2023-01-04,store_5,Groceries,Snowy,Discount,False,35-44,65.0,845.28,492.43,352.85,13.0,0.0645
2023-01-04,store_5,Home Goods,Cloudy,BOGO,False,35-44,101.0,1793.51,901.24,892.27,17.76,0.0376
2023-01-04,store_5,Beauty,Windy,,False,25-34,76.0,744.87,348.86,396.01,9.8,0.0789
2023-01-04,store_6,Electronics,Sunny,Discount,False,45-54,87.0,874.74,43.98,830.76,10.05,0.0337
2023-01-04,store_6,Clothing,Windy,Discount,False,45-54,82.0,1414.29,787.51,626.79,17.25,0.0385
2023-01-04,store_6,Groceries,Snowy,,False,25-34,73.0,722.29,316.19,406.1,9.89,0.0826
2023-01-04,store_6,Home Goods,Snowy,Discount,False,55+,59.0,890.97,400.14,490.83,15.1,0.037
2023-01-04,store_6,Beauty,Cloudy,Flash Sale,False,35-44,,955.55,243.94,711.61,10.86,0.0596
2023-01-04,store_7,Electronics,Snowy,Seasonal,False,45-54,78.0,1321.86,1142.06,179.79,16.95,0.0439
2023-01-04,store_7,Clothing,Cloudy,BOGO,False,18-24,59.0,862.68,406.19,456.48,14.62,0.0394
2023-01-04,store_7,Groceries,Rainy,BOGO,False,55+,79.0,1094.59,221.4,873.19,13.86,0.058
2023-01-04,store_7,Home Goods,Rainy,Discount,False,45-54,81.0,1089.87,743.28,346.59,13.46,0.068
2023-01-04,store_7,Beauty,Cloudy,Seasonal,False,55+,72.0,1149.75,555.24,594.51,15.97,0.0322
2023-01-04,store_8,Electronics,Windy,BOGO,False,25-34,93.0,1228.53,1016.57,211.96,13.21,0.0395
2023-01-04,store_8,Clothing,Cloudy,Discount,False,35-44,103.0,1412.41,696.08,716.33,13.71,0.0517
2023-01-04,store_8,Groceries,Sunny,Seasonal,False,18-24,103.0,1407.98,86.31,1321.67,13.67,0.0233
2023-01-04,store_8,Home Goods,Sunny,Seasonal,False,25-34,110.0,1026.39,452.93,573.45,9.33,0.0297
2023-01-04,store_8,Beauty,Snowy,,False,55+,72.0,711.5,242.82,468.67,9.88,-0.0084
2023-01-04,store_9,Electronics,Cloudy,Flash Sale,False,35-44,72.0,1356.4,951.18,405.22,18.84,0.0463
2023-01-04,store_9,Clothing,Rainy,,False,45-54,72.0,925.31,446.24,479.07,12.85,0.0825
2023-01-04,store_9,Groceries,Sunny,,False,,,870.78,464.45,406.34,13.19,0.0677
2023-01-04,store_9,Home Goods,Windy,,False,55+,94.0,870.33,563.68,306.65,9.26,0.0212
2023-01-04,store_9,Beauty,Cloudy,,,18-24,105.0,883.56,138.66,744.91,8.41,0.0597
2023-01-04,store_10,Electronics,Windy,Flash Sale,False,55+,74.0,905.3,746.55,158.75,12.23,0.0585
2023-01-04,store_10,Clothing,Rainy,Seasonal,False,45-54,84.0,1103.72,604.21,499.52,13.14,0.0463
2023-01-04,store_10,Groceries,Cloudy,Seasonal,False,35-44,74.0,1097.36,283.02,814.34,14.83,0.0441
2023-01-04,store_10,Home Goods,Windy,Seasonal,False,18-24,84.0,1360.16,420.33,939.83,16.19,0.0759
2023-01-04,store_10,Beauty,,Discount,False,18-24,68.0,870.38,596.8,,12.8,0.0316
2023-01-05,store_1,Electronics,Rainy,Discount,False,18-24,80.0,1256.49,367.49,888.99,15.71,0.0319
2023-01-05,store_1,Clothing,Rainy,,False,55+,72.0,657.5,493.6,163.9,9.13,0.0405
2023-01-05,store_1,Groceries,Snowy,BOGO,True,35-44,112.0,1187.9,804.09,383.81,10.61,0.057
2023-01-05,store_1,Home Goods,Cloudy,Flash Sale,False,25-34,94.0,1272.6,749.27,523.33,13.54,0.0305
2023-01-05,store_1,Beauty,Cloudy,Seasonal,False,25-34,83.0,1016.59,239.28,777.31,12.25,0.0603
2023-01-05,store_2,Electronics,Snowy,,False,,81.0,666.86,263.4,403.45,8.23,0.0868
2023-01-05,store_2,Clothing,Cloudy,Discount,False,25-34,84.0,1268.2,699.94,568.26,15.1,0.069
2023-01-05,store_2,Groceries,Cloudy,Seasonal,False,55+,100.0,949.0,453.53,495.46,9.49,0.0548
2023-01-05,store_2,Home Goods,Cloudy,Flash Sale,False,35-44,84.0,521.43,180.99,340.43,6.21,0.0602
2023-01-05,store_2,Beauty,Snowy,BOGO,False,45-54,74.0,799.61,379.78,419.83,10.81,0.018
2023-01-05,store_3,Electronics,Snowy,,False,45-54,77.0,770.66,377.45,393.21,10.01,0.0375
2023-01-05,store_3,Clothing,Cloudy,Seasonal,False,18-24,78.0,593.77,50.38,543.39,7.61,0.0483
2023-01-05,store_3,Groceries,Rainy,Seasonal,False,18-24,89.0,929.33,496.55,432.78,10.44,0.0125
2023-01-05,store_3,Home Goods,Cloudy,Seasonal,True,25-34,116.0,1737.53,847.57,889.95,14.98,0.0504
2023-01-05,store_3,Beauty,Snowy,Seasonal,False,35-44,69.0,662.57,415.86,246.7,9.6,0.0806
2023-01-05,store_4,Electronics,Rainy,Seasonal,False,45-54,85.0,1026.56,54.95,971.61,12.08,0.0334
2023-01-05,store_4,Clothing,Sunny,Flash Sale,False,35-44,81.0,994.07,427.7,566.37,12.27,0.0466
2023-01-05,store_4,Groceries,Cloudy,,False,35-44,101.0,988.91,248.77,740.14,9.79,0.0512
2023-01-05,store_4,Home Goods,Snowy,Flash Sale,False,45-54,72.0,759.31,274.07,485.23,10.55,0.0647
2023-01-05,store_4,Beauty,Windy,,False,35-44,79.0,1144.76,658.41,486.35,,0.0447
2023-01-05,store_5,Electronics,Cloudy,BOGO,False,45-54,88.0,1223.91,647.56,576.34,13.91,0.0734
2023-01-05,store_5,Clothing,Windy,,False,55+,75.0,775.05,137.47,637.58,10.33,0.0307
2023-01-05,store_5,Groceries,Snowy,Flash Sale,False,55+,59.0,1185.88,67.99,1117.89,20.1,0.0263
2023-01-05,store_5,Home Goods,Cloudy,Seasonal,False,45-54,78.0,1539.87,551.55,988.31,19.74,0.0501
2023-01-05,store_5,Beauty,Sunny,Discount,False,25-34,96.0,1164.26,391.41,772.84,12.13,0.0429
2023-01-05,store_6,Electronics,Cloudy,Flash Sale,False,45-54,85.0,703.37,89.33,614.04,8.27,0.0537
2023-01-05,store_6,Clothing,Sunny,,False,55+,93.0,1037.4,341.65,695.75,11.15,0.0327
2023-01-05,store_6,Groceries,Rainy,Discount,False,18-24,84.0,976.4,,258.11,11.62,0.0558
2023-01-05,store_6,Home Goods,Windy,Flash Sale,False,18-24,86.0,1161.88,328.49,833.39,13.51,0.0854
2023-01-05,store_6,Beauty,Snowy,,False,25-34,81.0,671.86,205.82,466.03,8.29,0.021
2023-01-05,store_7,Electronics,Snowy,BOGO,,35-44,72.0,1384.4,382.65,1001.75,19.23,0.0433
2023-01-05,store_7,Clothing,Snowy,Flash Sale,False,25-34,82.0,1072.05,494.38,577.68,13.07,0.0473
2023-01-05,store_7,Groceries,Snowy,Seasonal,False,25-34,71.0,995.81,421.52,574.29,14.03,
2023-01-05,store_7,Home Goods,Windy,Seasonal,False,25-34,106.0,861.63,369.91,491.72,,0.0393
2023-01-05,store_7,Beauty,Sunny,BOGO,False,45-54,87.0,1608.63,679.94,928.69,18.49,0.0736
2023-01-05,store_8,Electronics,Cloudy,Seasonal,False,18-24,87.0,954.9,602.83,352.07,10.98,0.0462
2023-01-05,store_8,Clothing,Cloudy,BOGO,False,55+,90.0,1323.58,619.4,704.17,14.71,0.0517
2023-01-05,store_8,Groceries,Snowy,Discount,False,45-54,84.0,1082.45,439.22,643.23,12.89,0.0444
2023-01-05,store_8,Home Goods,Cloudy,BOGO,False,55+,92.0,922.26,243.89,678.37,10.02,0.0567
2023-01-05,store_8,Beauty,Snowy,Flash Sale,False,25-34,75.0,771.57,264.13,507.44,10.29,0.0669
2023-01-05,store_9,Electronics,Rainy,Seasonal,False,,88.0,1450.97,876.97,574.0,16.49,0.0494
2023-01-05,store_9,Clothing,Sunny,BOGO,False,45-54,92.0,1233.48,960.7,272.78,13.41,0.0328
2023-01-05,store_9,Groceries,Snowy,,False,18-24,67.0,789.27,199.91,589.36,,0.0689
2023-01-05,store_9,Home Goods,Rainy,Seasonal,False,35-44,78.0,1116.45,251.74,864.71,14.31,0.0604
